Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Kidney_Unknown.7	5.582487777877601e-06	2.3248532819485017e-05	0.4051177800776553
Myeloid.cells	3.2377912640957226e-07	1.5889633639266957e-06	0.4192675872053675
Stromal.cells_Q_	-3.866131674766238e-06	5.329418418862715e-05	0.5289151938679166
Ureteric.bud.cells	-9.666960104661075e-08	7.811495153236126e-07	0.549244579462726
Mesangial.cells	-2.1948306989833995e-07	1.7390364955671916e-06	0.5502169868212441
Kidney_Unknown.14	-3.965651850328448e-07	3.7808172180385434e-07	0.8528850461387323
Mesangial.cells_Q_	-6.511293632128378e-07	5.674402797230424e-07	0.874409441471977
Vascular.endothelial.cells	-7.401575702967369e-07	6.02218853351409e-07	0.8904736220737767
