Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mesangial.cells_Q_	9.321400200793312e-08	2.539598216545939e-07	0.3567937256153315
Mesangial.cells	5.765661663173374e-08	2.669152290860199e-07	0.41448959963176263
Ureteric.bud.cells	4.640906668342989e-09	1.2654896582654958e-07	0.4853729427254984
Kidney_Unknown.14	-5.770502603139541e-09	5.3051953740155064e-08	0.5433078513716756
Kidney_Unknown.7	-1.2583151776987505e-06	6.6258085676871305e-06	0.5753106374372673
Vascular.endothelial.cells	-2.8849683993087654e-08	1.454154603067506e-07	0.578631941715903
Stromal.cells_Q_	-3.1280604776207924e-06	1.6869785333225705e-06	0.968147473987184
Myeloid.cells	-6.558871027315638e-07	1.677451468127473e-07	0.9999538560151022
