Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	1.0142902818198753e-06	3.797046693330213e-07	0.003778343002063639
Kidney_Unknown.14	2.435805952754034e-07	1.6668805092409832e-07	0.07196710269220175
Kidney_Unknown.7	2.6919920996831368e-06	6.934029239991422e-06	0.3489232410425902
Mesangial.cells	-3.287845838719933e-07	6.201672465329407e-07	0.7019976637678098
Stromal.cells_Q_	-1.3209418289782034e-06	2.0308159647639547e-06	0.7422988214902948
Ureteric.bud.cells	-2.9497846130295424e-07	3.3880691412647343e-07	0.808024310955219
Mesangial.cells_Q_	-6.39104568112078e-07	3.8925127119617746e-07	0.9496927462515857
Myeloid.cells	-7.398734070899433e-07	3.666813518801978e-07	0.9781916473981283
