Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Myeloid.cells	1.5734764126519348e-07	2.4481757431900895e-07	0.26020490213928554
Kidney_Unknown.7	-1.2216677783093098e-06	5.625893742984958e-05	0.5086623859450369
Ureteric.bud.cells	-1.4908304743488835e-08	1.2969311684702818e-07	0.5457578706748133
Vascular.endothelial.cells	-1.7538013332189684e-08	1.3944631868896144e-07	0.5500425789158646
Mesangial.cells_Q_	-1.2615195938637886e-07	2.705041720804833e-07	0.6795205964330198
Kidney_Unknown.14	-5.3324241216685185e-08	4.789882318483688e-08	0.8672033905542496
Mesangial.cells	-4.713695258775913e-07	2.570509286023028e-07	0.9666551326858753
Stromal.cells_Q_	-3.108925444034554e-06	6.077793716723883e-07	0.9999998433125913
