Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Megakaryocytes	1.0804009744628214e-07	9.714656643080035e-08	0.1330400533099247
Stellate.cells	1.3141849890230404e-07	1.3325743486123314e-07	0.1620174590128462
Myeloid.cells	4.92153629414651e-08	5.586943735524511e-08	0.18918609206684495
Hematopoietic.stem.cells	9.16108522994647e-08	1.306435312198396e-07	0.24158048819928402
Erythroblasts	2.643193462692867e-08	1.14953109749093e-07	0.4090704926984846
Hepatoblasts	7.812921799496313e-09	4.4739750690436793e-08	0.43068501904233836
Vascular.endothelial.cells	5.099989100844643e-09	7.289395416208584e-08	0.4721109573874726
Lymphoid.cells	-5.552736622772727e-08	9.104597940714482e-08	0.7290302378251322
