Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythroblasts	7.45429995279463e-08	1.0849748321932891e-07	0.24602618049094443
Lymphoid.cells	4.8612917488337155e-08	9.368436790414286e-08	0.30191487047775006
Vascular.endothelial.cells	4.165944754984814e-08	9.123058446410125e-08	0.3239652526965163
Myeloid.cells	9.130327089170402e-09	8.301504429597846e-08	0.4562110298542424
Hepatoblasts	1.4722771069449924e-09	5.8817105022430525e-08	0.4900149411417553
Hematopoietic.stem.cells	-1.823162539506928e-08	1.3719786253255024e-07	0.5528580870223304
Stellate.cells	-5.440564077124923e-08	1.2252734649034942e-07	0.6714890309493776
Megakaryocytes	-2.014557171066538e-07	5.9408494447648314e-08	0.9996518418365632
