Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Hepatoblasts	1.7880149972577102e-07	7.519390957971943e-08	0.008706432230608359
Erythroblasts	1.9762193943173527e-07	1.370202612357213e-07	0.07461133256051762
Megakaryocytes	1.171616891757117e-07	1.1017235945314086e-07	0.14379124037506985
Vascular.endothelial.cells	5.235155303092085e-08	8.558863943013774e-08	0.27037979701205966
Stellate.cells	1.129935458720301e-08	1.3048122181934765e-07	0.46549570531043555
Lymphoid.cells	-1.9472809425130748e-09	1.2001830297507417e-07	0.5064725012597735
Hematopoietic.stem.cells	-2.5097859282197006e-08	1.8941745747187641e-07	0.552705684872923
Myeloid.cells	-2.7758313053005952e-08	9.15821055468882e-08	0.6190922445473355
